<choji>「モグモグモグ<w5>・<w5>・<w5>・<w5>　んーー！！<w21>|ここのおだんごは　おいしいなァ」=<choji>(munch)(munch)...<w21>Man this place has the best dumplings, I tell ya!
<naruto>「チョウジ！　ホント　おまえは|くってばっかだな！」=<naruto>I can never see you not eating around, Choji!
<choji>「モグモグモグ<w5>・<w5>・<w5>・<w5>|ナルトもたべる？　おいしいよ！」=<choji>(munch)(munch)You wanna have some, Naruto? They're really good!
<naruto>「やっぱ　なっとくいかねぇってば！|ゆうしゅうなやつっていやぁ　シノとかだろ！」=<naruto>I don't get why you chose him out of all people, we're better off going with a guy like Shino!
<shikamaru>「チョウジとは　ながねんチームをくんで|やってきた」=<shikamaru>Choji's my teammate, in case you forgot
「オレとのれんけいは　いちばんとりやすい」=So working with him will be a very easy thing to do for me, and my co-ordination with him is top notch
<naruto>「そりゃあ　わかるけどよォ・・・|なんで！　なんで！！」=<naruto>Yeah I get you and all that! But why him!?
<shikamaru>「あーもう　うるせーな<w5>・<w5>・<w5>・<w5>|おい　チョウジ！」=<shikamaru>What a drag...<w21>Hey Choji!
<shikamaru>「サスケが里をぬけた・・・　オレたちは|サスケをつれもどす任務を　しなきゃなんねー」=<shikamaru>Sasuke just left the village, and I'm forming a task force to go and get him
<choji>「んーー<w5>・<w5>・<w5>・<w5>　わかった　サスケを|つれもどすんだね　モグモグモグ・・・」=<choji>Uh huh....<w21>(munch)(munch)Sasuke left and we gotta get him back(munch)(munch)
<shikamaru>「んじゃ　たのんだぜ　チョウジ|すぐしたくして　正面入口でまっててくれ」=<shikamaru>Well then, we'll be waiting for you at the village gates
<naruto>「つーか　だいじょうぶなのか？　ホントに|つぎこそは　シノをさそうってばよ！」=<naruto>Well with Choji done, we can go and get Shino, yeah?
<shikamaru>「ハイハイ・・・」=<shikamaru>Yeah yeah
<shikamaru>（ったく　クソめんどくせーやつだな）=<shikamaru>(He's really getting on my nerves)
<shikamaru>「シノのいばしょといやぁ　<blue>ヒナタか|キバ<black>にきくのが　いちばんだな」=<shikamaru>We ought to ask <blue>Hinata or Kiba <black>about where Shino is
<naruto>「よし！　ヒナタか　キバを|さがすってばよ！」=<naruto>Alright! Let's go find them!
<choji>「モグモグモグ<w5>・<w5>・<w5>・」=<choji>(munch)(munch)
<ino>「チョージ！　そんな　あせってたべなくても|おだんごは　にげたりしないわよー」=Calm down Choji! These dumpling are going nowhere, I promise!
<choji>「モグモグモグ<w5>・<w5>・<w5>・<w21>　んーー！！|やっぱ　木ノ葉茶のおだんごは　さいこーだよ」=(munch)(munch)<w5>.<w5>.<w5>.<w5>.<w21>This place has THE best dumplings I tell ya!
<asuma>「フー<w5>・<w5>・<w5>・<w5>　こんだけ　しょくよくがあれば|もうしんぱいねーな」=Sigh<w5>.<w5>.<w5>.<w5>.one look at you and no one would say you almost died
<choji>「これくいおわったら　さっそく|修業つきあってよね！　アスマ先生！！」=That's all said and done now, Asume Sensei! It's time for our training now, yeah?
<ino>「ちょっと！　アンタ・・・　バカ！？<w16>|いくらなんでも　やみあがりなんだから」=At least thank him for the meal before you ask him so bluntly!
<asuma>（フッ<w16>・<w16>・<w16>・<w16>　こいつも　やるきになったか）=(Sigh...<w32>some things never change)
